Provincia;Total;Por mil
Total;113435;4.954
Albacete;891;4.589
Alicante/Alacant;3482;3.822
Almería;2442;6.759
Araba/Álava;443;2.732
Asturias;2447;4.986
Ávila;311;3.910
Badajoz;2862;8.553
Illes Balears;2037;3.626
Barcelona;8552;3.129
Bizkaia;1830;3.298
Burgos;424;2.378
Cáceres;1133;5.762
Cádiz;8218;13.442
Cantabria;1305;4.635
Castellón/Castelló;1330;4.645
Ciudad Real;955;3.872
Córdoba;2964;7.697
A Coruña;4064;7.573
Cuenca;234;2.364
Gipuzkoa;1044;2.968
Girona;835;2.193
Granada;3299;7.342
Guadalajara;476;3.694
Huelva;3578;13.884
Huesca;279;2.523
Jaén;2605;8.255
León;764;3.386
Lleida;409;1.863
Lugo;489;3.044
Madrid;13211;4.197
Málaga;5973;7.421
Murcia;2635;3.560
Navarra;789;2.462
Ourense;626;4.218
Palencia;296;3.685
Las Palmas;3530;6.389
Pontevedra;2591;5.696
La Rioja;431;2.767
Salamanca;877;5.445
Santa Cruz de Tenerife;2698;5.380
Segovia;306;3.975
Sevilla;10077;10.622
Soria;127;2.835
Tarragona;1236;3.116
Teruel;206;3.027
Toledo;1277;3.696
Valencia/València;4188;3.353
Valladolid;759;2.996
Zamora;375;4.344
Zaragoza;1112;2.382
Ceuta;232;5.373
Melilla;181;4.136